number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 0.37 (well)
mAP = 0.14 (as)
mAP = 0.32 (his)
mAP = 1.00 (local)
mAP = 1.00 (experience)
mAP = 0.53 (and)
mAP = 0.25 (influences)
mAP = 1.00 (enable)
mAP = 1.00 (him)
mAP = 0.44 (to)
mAP = 0.54 (make)
mAP = 0.39 (his)
mAP = 1.00 (arrangements)
mAP = 0.11 (with)
mAP = 1.00 (effect)
mAP = 0.00 (6th)
mAP = 0.58 (the)
mAP = 1.00 (govt)
mAP = 0.46 (of)
mAP = 1.00 (bengal)
mAP = 0.63 (will)
mAP = 0.36 (be)
mAP = 1.00 (requested)
mAP = 0.43 (to)
mAP = 0.70 (instruct)
mAP = 0.28 (the)
mAP = 1.00 (commander)
mAP = 0.38 (of)
mAP = 0.45 (the)
mAP = 0.51 (river)
mAP = 1.00 (steamers)
mAP = 0.40 (to)
mAP = 1.00 (pay)
mAP = 0.35 (every)
mAP = 1.00 (attention)
mAP = 0.09 (in)
mAP = 0.31 (their)
mAP = 1.00 (power)
mAP = 0.45 (to)
mAP = 0.26 (mr)
mAP = 1.00 (lowthers)
mAP = 1.00 (instuctions)
mAP = 0.50 (regarding)
mAP = 0.70 (the)
mAP = 1.00 (transport)
mAP = 0.45 (of)
mAP = 0.92 (packages)
mAP = 0.26 (of)
mAP = 0.08 (seeds)
mAP = 0.25 (or)
mAP = 0.39 (of)
mAP = 1.00 (ward)
mAP = 1.00 (cases)
mAP = 0.83 (they)
mAP = 0.45 (will)
mAP = 0.50 (also)
mAP = 0.38 (be)
mAP = 1.00 (requested)
mAP = 0.30 (to)
mAP = 0.50 (place)
mAP = 0.64 (the)
mAP = 0.00 (care)
mAP = 0.18 (of)
mAP = 0.55 (the)
mAP = 0.92 (packages)
mAP = 0.21 (on)
mAP = 0.37 (their)
mAP = 1.00 (arrival)
mAP = 0.13 (in)
mAP = 1.00 (calcutta)
mAP = 0.11 (in)
mAP = 0.49 (the)
mAP = 1.00 (hands)
mAP = 0.28 (of)
mAP = 0.15 (dr)
mAP = 1.00 (falconer)
mAP = 0.80 (with)
mAP = 1.00 (whom)
mAP = 0.15 (as)
mAP = 0.52 (well)
mAP = 0.27 (as)
mAP = 0.80 (with)
mAP = 0.17 (mr)
mAP = 0.75 (lowther)
mAP = 0.11 (you)
mAP = 0.70 (should)
mAP = 1.00 (correspond)
mAP = 1.00 (direct)
mAP = 1.00 (7th)
mAP = 0.05 (as)
mAP = 1.00 (soon)
mAP = 0.07 (as)
mAP = 0.49 (the)
mAP = 1.00 (seasons)
mAP = 1.00 (operations)
mAP = 0.35 (are)
mAP = 0.50 (closed)
mAP = 0.12 (you)
mAP = 0.55 (will)
mAP = 0.26 (be)
mAP = 0.92 (pleased)
mAP = 0.42 (to)
mAP = 1.00 (furnish)
mAP = 1.00 (lists)
mAP = 0.23 (of)
mAP = 0.46 (the)
mAP = 0.50 (seeds)
mAP = 0.65 (and)
mAP = 1.00 (plants)
mAP = 1.00 (whch)
mAP = 0.09 (you)
mAP = 0.08 (have)
mAP = 0.00 (dispatched)
mAP = 0.79 (with)
mAP = 0.72 (the)
mAP = 1.00 (dates)
mAP = 0.09 (of)
mAP = 1.00 (despatches)
mAP = 0.58 (and)
mAP = 0.40 (the)
mAP = 0.58 (name)
mAP = 0.40 (of)
mAP = 0.34 (the)
mAP = 1.00 (ship)
mAP = 0.11 (which)
mAP = 1.00 (carries)
mAP = 0.50 (each)
mAP = 0.43 (of)
mAP = 0.61 (the)
mAP = 0.67 (packages)
mAP = 0.47 (this)
mAP = 1.00 (3185)
mAP = 0.07 (fort)
mAP = 0.05 (st)
mAP = 0.01 (george)
mAP = 0.00 (2d)
mAP = 0.14 (december)
mAP = 0.02 (1791)
mAP = 0.34 (ordered)
mAP = 1.00 (agreed)
mAP = 0.43 (that)
mAP = 0.70 (the)
mAP = 1.00 (garrison)
mAP = 1.00 (storekeeper)
mAP = 0.06 (be)
mAP = 1.00 (directed)
mAP = 0.55 (to)
mAP = 1.00 (adjust)
mAP = 0.71 (the)
mAP = 0.52 (above)
mAP = 1.00 (mentioned)
mAP = 1.00 (extraordinary)
mAP = 1.00 (deficiences)
mAP = 0.00 (agree)
mAP = 1.00 (ably)
mAP = 0.39 (to)
mAP = 0.34 (his)
mAP = 1.00 (request)
mAP = 0.31 (read)
mAP = 0.69 (the)
mAP = 0.43 (following)
mAP = 0.33 (letter)
mAP = 0.31 (from)
mAP = 0.72 (doctor)
mAP = 0.50 (berry)
mAP = 0.37 (with)
mAP = 0.70 (the)
mAP = 0.16 (accounts)
mAP = 0.50 (accom)
mAP = 1.00 (panying)
mAP = 0.22 (it)
mAP = 0.34 (entered)
mAP = 0.37 (mb)
mAP = 0.33 (no)
mAP = 0.00 (1022)
mAP = 0.00 (to)
mAP = 0.00 (c)
mAP = 1.00 (n)
mAP = 1.00 (white)
mAP = 1.00 (esqr)
mAP = 1.00 (civil)
mAP = 1.00 (secretary)
mAP = 0.09 (letter)
mAP = 0.00 (from)
mAP = 0.00 (dr)
mAP = 0.19 (berry)
mAP = 1.00 (explanation)
mAP = 0.02 (relative)
mAP = 0.01 (to)
mAP = 0.21 (the)
mAP = 0.14 (companys)
mAP = 0.25 (nopal)
mAP = 1.00 (ry)
mAP = 0.64 (sir)
mAP = 0.13 (i)
mAP = 0.55 (have)
mAP = 0.34 (received)
mAP = 0.29 (your)
mAP = 0.36 (letter)
mAP = 0.09 (of)
mAP = 0.69 (the)
mAP = 1.00 (26h)
mAP = 0.13 (instant)
mAP = 1.00 (stating)
mAP = 0.06 (that)
mAP = 0.19 (as)
mAP = 1.00 (ihave)
mAP = 1.00 (regularly)
mAP = 0.51 (drawn)
mAP = 0.70 (the)
mAP = 1.00 (monthly)
mAP = 0.51 (allowance)
mAP = 0.48 (of)
mAP = 0.50 (150)
mAP = 0.36 (pagodas)
mAP = 0.00 (for)
mAP = 0.01 (the)
mAP = 0.59 (honble)
mAP = 0.34 (companys)
mAP = 0.26 (nopalry)
mAP = 1.00 (without)
mAP = 0.29 (any)
mAP = 0.02 (muster)
mAP = 0.68 (and)
mAP = 0.51 (as)
mAP = 0.03 (i)
mAP = 0.22 (have)
mAP = 0.80 (not)
mAP = 0.06 (as)
mAP = 1.00 (yet)
mAP = 1.00 (given)
mAP = 0.04 (in)
mAP = 0.27 (any)
mAP = 1.00 (account)
mAP = 0.40 (of)
mAP = 0.71 (the)
mAP = 1.00 (appropriation)
mAP = 0.47 (of)
mAP = 0.71 (the)
mAP = 0.02 (32)
mAP = 0.35 (pagodas)
mAP = 1.00 (monthly)
mAP = 0.48 (for)
mAP = 1.00 (contingencies)
mAP = 0.01 (i)
mAP = 0.17 (am)
mAP = 0.70 (desired)
mAP = 0.58 (by)
mAP = 0.71 (the)
mAP = 0.63 (honble)
mAP = 0.61 (president)
mAP = 0.01 (in)
mAP = 0.06 (council)
mAP = 0.51 (to)
mAP = 0.02 (transmit)
mAP = 0.61 (my)
mAP = 0.34 (accounts)
mAP = 0.44 (of)
mAP = 0.68 (the)
mAP = 1.00 (expenditure)
mAP = 0.37 (of)
mAP = 0.69 (the)
mAP = 1.00 (sums)
mAP = 0.52 (drawn)
mAP = 0.47 (for)
mAP = 0.30 (the)
mAP = 1.00 (establishment)
mAP = 0.39 (from)
mAP = 0.38 (its)
mAP = 1.00 (commencement)
mAP = 0.05 (you)
mAP = 0.00 (3186)
mAP = 0.00 (fort)
mAP = 0.13 (st)
mAP = 0.00 (george)
mAP = 0.20 (2d)
mAP = 0.00 (december)
mAP = 0.01 (1791)
mAP = 0.18 (you)
mAP = 0.27 (will)
mAP = 0.36 (be)
mAP = 1.00 (pleased)
mAP = 0.01 (to)
mAP = 1.00 (inform)
mAP = 0.63 (the)
mAP = 0.58 (honble)
mAP = 0.41 (president)
mAP = 0.05 (in)
mAP = 0.38 (council)
mAP = 0.50 (that)
mAP = 0.00 (i)
mAP = 0.27 (have)
mAP = 0.34 (always)
mAP = 0.10 (for)
mAP = 0.75 (my)
mAP = 0.50 (own)
mAP = 1.00 (satisfaction)
mAP = 1.00 (transmitted)
mAP = 0.71 (my)
mAP = 0.22 (accounts)
