number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 0.56 (three)
mAP = 1.00 (priotas)
mAP = 1.00 (hitherto)
mAP = 1.00 (sufficient)
mAP = 0.72 (to)
mAP = 0.50 (water)
mAP = 0.95 (all)
mAP = 0.88 (the)
mAP = 0.67 (garden)
mAP = 0.85 (and)
mAP = 0.75 (have)
mAP = 0.83 (raised)
mAP = 1.00 (levelled)
mAP = 0.88 (and)
mAP = 1.00 (cultivated)
mAP = 0.00 (more)
mAP = 0.75 (ground)
mAP = 1.00 (than)
mAP = 0.12 (was)
mAP = 0.30 (at)
mAP = 0.12 (first)
mAP = 1.00 (specified)
mAP = 1.00 (without)
mAP = 1.00 (subjecting)
mAP = 0.89 (the)
mAP = 0.95 (honble)
mAP = 1.00 (com)
mAP = 1.00 (pany)
mAP = 0.34 (to)
mAP = 0.39 (any)
mAP = 1.00 (additional)
mAP = 0.70 (expence)
mAP = 1.00 (besides)
mAP = 0.89 (the)
mAP = 0.47 (cultivation)
mAP = 0.59 (of)
mAP = 0.87 (the)
mAP = 0.50 (nopal)
mAP = 0.65 (of)
mAP = 0.79 (which)
mAP = 1.00 (there)
mAP = 0.29 (are)
mAP = 0.63 (great)
mAP = 1.00 (quantities)
mAP = 0.21 (of)
mAP = 0.89 (all)
mAP = 0.89 (the)
mAP = 1.00 (different)
mAP = 1.00 (kinds)
mAP = 0.80 (by)
mAP = 0.15 (dr)
mAP = 1.00 (andersons)
mAP = 0.83 (desire)
mAP = 0.23 (as)
mAP = 1.00 (appears)
mAP = 0.30 (in)
mAP = 0.51 (his)
mAP = 0.16 (letters)
mAP = 0.67 (to)
mAP = 0.88 (the)
mAP = 0.95 (honble)
mAP = 0.83 (board)
mAP = 0.07 (i)
mAP = 0.75 (have)
mAP = 1.00 (endeavoured)
mAP = 0.03 (to)
mAP = 1.00 (turn)
mAP = 0.19 (a)
mAP = 0.52 (part)
mAP = 0.56 (of)
mAP = 0.85 (the)
mAP = 0.69 (ground)
mAP = 1.00 (into)
mAP = 0.24 (a)
mAP = 0.50 (botanical)
mAP = 0.01 (garden)
mAP = 0.71 (and)
mAP = 1.00 (3189)
mAP = 0.14 (fort)
mAP = 0.15 (st)
mAP = 0.23 (george)
mAP = 0.20 (2d)
mAP = 0.22 (december)
mAP = 0.10 (1791)
mAP = 0.17 (fort)
mAP = 0.08 (st)
mAP = 0.14 (george)
mAP = 0.56 (30th)
mAP = 0.64 (november)
mAP = 0.04 (1791)
mAP = 1.00 (improvements)
mAP = 0.85 (or)
mAP = 0.75 (even)
mAP = 1.00 (finishing)
mAP = 0.86 (the)
mAP = 1.00 (works)
mAP = 0.28 (i)
mAP = 0.75 (have)
mAP = 0.50 (begun)
mAP = 0.63 (as)
mAP = 0.02 (i)
mAP = 0.16 (was)
mAP = 0.83 (enabled)
mAP = 0.70 (to)
mAP = 0.83 (do)
mAP = 1.00 (formerly)
mAP = 0.09 (i)
mAP = 0.61 (request)
mAP = 0.58 (of)
mAP = 0.40 (you)
mAP = 0.70 (to)
mAP = 0.39 (lay)
mAP = 0.84 (this)
mAP = 0.61 (letter)
mAP = 0.65 (before)
mAP = 0.89 (the)
mAP = 0.95 (honble)
mAP = 0.89 (the)
mAP = 0.90 (president)
mAP = 0.23 (in)
mAP = 0.35 (council)
mAP = 0.83 (with)
mAP = 0.67 (its)
mAP = 1.00 (enclosures)
mAP = 0.85 (and)
mAP = 0.75 (have)
mAP = 0.89 (the)
mAP = 0.50 (honor)
mAP = 0.31 (to)
mAP = 0.86 (be)
mAP = 0.33 (c)
mAP = 0.20 (c)
mAP = 1.00 (andw)
mAP = 0.49 (berry)
mAP = 1.00 (superintendt)
mAP = 0.95 (honble)
mAP = 0.60 (companys)
mAP = 0.14 (nopalry)
mAP = 1.00 (observations)
mAP = 0.00 (resolutionthereon)
mAP = 0.39 (it)
mAP = 1.00 (appearing)
mAP = 0.79 (that)
mAP = 0.24 (a)
mAP = 0.50 (great)
mAP = 0.75 (part)
mAP = 0.59 (of)
mAP = 0.88 (the)
mAP = 1.00 (expense)
mAP = 1.00 (incurred)
mAP = 0.56 (at)
mAP = 0.90 (the)
mAP = 0.48 (nopalry)
mAP = 0.47 (has)
mAP = 0.86 (been)
mAP = 1.00 (occasioned)
mAP = 0.67 (by)
mAP = 1.00 (circumstances)
mAP = 0.78 (that)
mAP = 0.62 (cannot)
mAP = 0.50 (again)
mAP = 0.52 (occur)
mAP = 0.87 (and)
mAP = 0.70 (as)
mAP = 0.89 (the)
mAP = 0.61 (court)
mAP = 0.24 (of)
mAP = 1.00 (rectors)
mAP = 0.75 (have)
mAP = 1.00 (not)
mAP = 0.50 (authorized)
mAP = 0.54 (any)
mAP = 1.00 (deviation)
mAP = 0.35 (from)
mAP = 0.88 (the)
mAP = 1.00 (original)
mAP = 1.00 (design)
mAP = 0.64 (of)
mAP = 0.07 (a)
mAP = 1.00 (nopalryonly)
mAP = 0.89 (the)
mAP = 0.83 (board)
mAP = 1.00 (think)
mAP = 0.46 (it)
mAP = 0.54 (necessary)
mAP = 0.50 (till)
mAP = 0.83 (their)
mAP = 1.00 (plea)
mAP = 1.00 (sure)
mAP = 0.85 (be)
mAP = 1.00 (known)
mAP = 0.69 (to)
mAP = 1.00 (confine)
mAP = 0.89 (the)
mAP = 1.00 (expenses)
mAP = 0.69 (to)
mAP = 0.70 (that)
mAP = 1.00 (object)
mAP = 0.85 (and)
mAP = 0.89 (the)
mAP = 1.00 (preservation)
mAP = 0.64 (of)
mAP = 1.00 (such)
mAP = 0.83 (other)
mAP = 0.83 (plants)
mAP = 0.77 (as)
mAP = 0.67 (may)
mAP = 1.00 (already)
mAP = 0.77 (have)
mAP = 0.84 (been)
mAP = 1.00 (introduced)
mAP = 0.68 (into)
mAP = 0.90 (the)
mAP = 0.56 (garden)
mAP = 0.50 (but)
mAP = 0.11 (for)
mAP = 0.89 (the)
mAP = 0.62 (boards)
mAP = 1.00 (infor)
mAP = 1.00 (mation)
mAP = 1.00 (previous)
mAP = 0.69 (to)
mAP = 1.00 (forming)
mAP = 0.57 (any)
mAP = 1.00 (resolu)
mAP = 0.52 (tion)
mAP = 0.09 (on)
mAP = 0.89 (the)
mAP = 0.83 (present)
mAP = 1.00 (establishment)
mAP = 1.00 (resolved)
mAP = 0.69 (that)
mAP = 0.81 (doctor)
mAP = 0.32 (berry)
mAP = 0.74 (be)
mAP = 0.67 (desired)
mAP = 0.69 (to)
mAP = 1.00 (report)
mAP = 0.89 (the)
mAP = 0.83 (state)
mAP = 0.00 (3190)
mAP = 0.04 (fort)
mAP = 0.04 (st)
mAP = 0.01 (george)
mAP = 0.00 (2d)
mAP = 0.23 (december)
mAP = 0.06 (1791)
mAP = 1.00 (state)
mAP = 0.62 (of)
mAP = 0.89 (the)
mAP = 0.49 (nopalry)
mAP = 1.00 (particularizing)
mAP = 0.92 (what)
mAP = 1.00 (charges)
mAP = 0.00 (he)
mAP = 0.28 (may)
mAP = 0.83 (think)
mAP = 1.00 (absolutely)
mAP = 0.50 (necessary)
mAP = 0.50 (those)
mAP = 0.75 (which)
mAP = 0.39 (may)
mAP = 0.86 (be)
mAP = 1.00 (reduced)
mAP = 0.92 (or)
mAP = 1.00 (entirely)
mAP = 1.00 (discontinued)
mAP = 0.03 (from)
mAP = 0.56 (the)
mAP = 0.21 (clerk)
mAP = 0.03 (to)
mAP = 0.64 (the)
mAP = 0.22 (court)
mAP = 0.30 (of)
mAP = 0.64 (requests)
mAP = 0.71 (read)
mAP = 0.64 (letter)
mAP = 0.31 (from)
mAP = 0.89 (the)
mAP = 0.52 (clerk)
mAP = 0.68 (to)
mAP = 0.89 (the)
mAP = 0.61 (court)
mAP = 0.61 (of)
mAP = 0.75 (requests)
mAP = 0.35 (entered)
mAP = 0.01 (mb)
mAP = 0.17 (no)
mAP = 0.00 (1023)
mAP = 1.00 (reporting)
mAP = 0.90 (the)
mAP = 1.00 (election)
mAP = 0.40 (of)
mAP = 0.50 (new)
mAP = 1.00 (commissioners)
mAP = 0.46 (for)
mAP = 0.88 (the)
mAP = 1.00 (ensuing)
mAP = 0.00 (year)
mAP = 0.68 (read)
mAP = 0.52 (petition)
mAP = 0.60 (of)
mAP = 0.51 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (complaining)
mAP = 1.00 (against)
mAP = 1.00 (suthea)
mAP = 1.00 (raune)
mAP = 0.64 (of)
mAP = 0.51 (vizagapatam)
mAP = 0.34 (ordered)
mAP = 0.59 (that)
mAP = 0.01 (it)
mAP = 0.06 (be)
mAP = 0.00 (re)
mAP = 1.00 (ferred)
mAP = 0.70 (to)
mAP = 0.89 (the)
mAP = 1.00 (chief)
mAP = 0.85 (and)
mAP = 0.43 (council)
mAP = 0.60 (at)
mAP = 0.79 (that)
mAP = 0.50 (place)
mAP = 0.82 (with)
mAP = 1.00 (directions)
mAP = 0.71 (to)
mAP = 0.83 (do)
mAP = 1.00 (justice)
mAP = 0.70 (to)
mAP = 0.89 (the)
mAP = 1.00 (parties)
mAP = 1.00 (concerned)
mAP = 0.00 (read)
mAP = 0.02 (the)
mAP = 0.00 (following)
mAP = 0.09 (letter)
mAP = 0.33 (from)
mAP = 0.75 (mr)
mAP = 1.00 (mitford)
mAP = 1.00 (accompanied)
mAP = 0.74 (by)
mAP = 0.41 (a)
mAP = 1.00 (memo)
mAP = 0.00 (rial)
mAP = 1.00 (addressed)
mAP = 0.69 (to)
mAP = 0.89 (the)
mAP = 0.94 (honble)
mAP = 0.90 (the)
mAP = 0.61 (court)
mAP = 0.01 (of)
mAP = 0.50 (directors)
mAP = 0.75 (petition)
mAP = 0.22 (of)
mAP = 0.50 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (referred)
mAP = 0.04 (to)
mAP = 0.51 (vizagapatam)
mAP = 0.02 (to)
mAP = 0.09 (the)
mAP = 0.95 (honble)
mAP = 1.00 (major)
mAP = 0.92 (general)
mAP = 1.00 (willm)
mAP = 1.00 (medows)
mAP = 0.74 (president)
mAP = 0.84 (and)
mAP = 0.33 (governor)
mAP = 0.17 (c)
mAP = 0.04 (in)
mAP = 0.11 (council)
mAP = 0.22 (fort)
mAP = 0.12 (st)
mAP = 0.02 (george)
mAP = 0.95 (honble)
mAP = 0.00 (3379)
mAP = 0.11 (fort)
mAP = 0.12 (st)
mAP = 0.00 (george)
mAP = 0.01 (20th)
mAP = 0.00 (december)
mAP = 0.12 (1791)
mAP = 1.00 (trichinopoly)
mAP = 0.61 (as)
mAP = 1.00 (mentioned)
mAP = 0.20 (in)
mAP = 0.89 (the)
mAP = 1.00 (orders)
mAP = 0.55 (of)
mAP = 0.88 (the)
mAP = 0.00 (19th)
mAP = 0.12 (from)
mAP = 0.50 (masulipatam)
mAP = 0.51 (read)
mAP = 0.89 (the)
mAP = 1.00 (undermentioned)
mAP = 0.57 (letters)
mAP = 0.33 (entered)
mAP = 0.00 (mb)
mAP = 0.00 (1050)
mAP = 0.00 (1051)
mAP = 1.00 (1052)
mAP = 0.00 (from)
mAP = 0.53 (masulipatam)
mAP = 0.79 (with)
mAP = 1.00 (journal)
mAP = 1.00 (parcels)
mAP = 0.44 (for)
mAP = 0.71 (november)
mAP = 0.00 (from)
mAP = 0.00 (mr)
mAP = 0.25 (atkinson)
mAP = 0.35 (from)
mAP = 0.69 (mr)
mAP = 0.50 (atkinson)
mAP = 0.16 (in)
mAP = 0.50 (reply)
mAP = 0.69 (to)
mAP = 0.89 (the)
mAP = 1.00 (boards)
mAP = 1.00 (orders)
mAP = 0.31 (in)
mAP = 0.89 (the)
mAP = 1.00 (subject)
mAP = 0.23 (of)
mAP = 0.88 (the)
mAP = 1.00 (scavengers)
mAP = 1.00 (employ)
mAP = 0.12 (from)
mAP = 0.61 (masulipatam)
mAP = 0.17 (from)
mAP = 0.71 (masulipatam)
mAP = 0.73 (with)
mAP = 0.50 (cash)
mAP = 0.23 (accounts)
mAP = 0.44 (for)
mAP = 0.83 (november)
mAP = 0.78 (and)
mAP = 1.00 (estimate)
mAP = 0.14 (of)
mAP = 0.00 (receipts)
mAP = 0.00 (disburse)
mAP = 1.00 (ments)
mAP = 0.44 (for)
mAP = 0.20 (december)
mAP = 0.03 (probable)
mAP = 0.00 (balance)
mAP = 0.27 (of)
mAP = 0.50 (cash)
mAP = 0.46 (being)
mAP = 0.00 (mpag)
mAP = 0.00 (14583)
mAP = 1.00 (27)
mAP = 0.01 (letter)
mAP = 0.07 (from)
mAP = 0.00 (dr)
mAP = 0.17 (berry)
mAP = 0.00 (in)
mAP = 0.25 (reply)
mAP = 0.00 (relative)
mAP = 0.16 (to)
mAP = 0.54 (the)
mAP = 0.27 (companys)
mAP = 0.20 (nopalry)
mAP = 0.58 (read)
mAP = 0.89 (the)
mAP = 0.67 (following)
mAP = 0.55 (letter)
mAP = 0.32 (from)
mAP = 0.92 (doctor)
mAP = 1.00 (andrew)
mAP = 0.65 (berry)
mAP = 0.03 (to)
mAP = 0.67 (the)
mAP = 0.49 (honble)
mAP = 0.92 (sir)
mAP = 1.00 (charles)
mAP = 1.00 (pakeley)
mAP = 1.00 (bar)
mAP = 0.00 (t)
mAP = 0.97 (president)
mAP = 0.33 (in)
mAP = 0.34 (council)
mAP = 0.00 (c)
mAP = 0.95 (honble)
mAP = 1.00 (sir)
mAP = 0.33 (i)
mAP = 0.75 (have)
mAP = 0.87 (been)
mAP = 0.00 (honored)
mAP = 0.77 (with)
mAP = 0.24 (your)
mAP = 1.00 (secretarys)
mAP = 0.64 (letter)
mAP = 0.62 (of)
mAP = 0.74 (the)
mAP = 1.00 (3d)
mAP = 0.83 (instant)
mAP = 0.85 (and)
mAP = 0.78 (will)
mAP = 1.00 (endeavour)
mAP = 0.00 (3372)
mAP = 0.00 (fort)
mAP = 0.05 (st)
mAP = 0.01 (george)
mAP = 0.00 (20th)
mAP = 0.00 (december)
mAP = 0.03 (1791)
mAP = 1.00 (endeavour)
mAP = 0.04 (to)
mAP = 1.00 (give)
mAP = 0.57 (you)
mAP = 0.67 (every)
mAP = 1.00 (information)
mAP = 0.19 (on)
mAP = 0.88 (the)
mAP = 1.00 (different)
mAP = 1.00 (subjects)
mAP = 0.11 (i)
mAP = 0.50 (can)
mAP = 0.69 (as)
mAP = 0.05 (i)
mAP = 1.00 (consider)
mAP = 0.45 (it)
mAP = 0.88 (my)
mAP = 1.00 (duty)
mAP = 0.73 (as)
mAP = 0.80 (well)
mAP = 0.73 (as)
mAP = 0.76 (your)
mAP = 1.00 (desire)
mAP = 0.60 (you)
mAP = 0.35 (are)
mAP = 0.92 (pleased)
mAP = 0.66 (to)
mAP = 1.00 (say)
mAP = 0.47 (it)
mAP = 1.00 (appearing)
mAP = 0.79 (that)
mAP = 0.20 (a)
mAP = 0.41 (great)
mAP = 0.52 (part)
mAP = 0.65 (of)
mAP = 0.89 (the)
mAP = 0.72 (expence)
mAP = 0.52 (has)
mAP = 0.87 (been)
mAP = 1.00 (applied)
mAP = 0.70 (to)
mAP = 1.00 (purposes)
mAP = 0.69 (which)
mAP = 0.83 (cannot)
mAP = 0.25 (again)
mAP = 0.64 (occur)
mAP = 1.00 (such)
mAP = 0.70 (as)
mAP = 1.00 (enclosing)
mAP = 1.00 (level)
mAP = 1.00 (ling)
mAP = 0.86 (and)
mAP = 1.00 (manuring)
mAP = 0.88 (the)
mAP = 0.54 (ground)
mAP = 0.83 (digging)
mAP = 1.00 (wells)
mAP = 0.00 (c)
mAP = 0.29 (i)
mAP = 1.00 (must)
mAP = 0.54 (observe)
mAP = 0.77 (that)
mAP = 0.73 (as)
mAP = 0.00 (far)
mAP = 0.76 (as)
mAP = 1.00 (regards)
mAP = 1.00 (enclosing)
mAP = 0.85 (and)
mAP = 1.00 (levelling)
mAP = 0.69 (what)
mAP = 0.42 (you)
mAP = 0.76 (have)
mAP = 1.00 (said)
mAP = 0.60 (is)
mAP = 1.00 (generally)
mAP = 0.50 (just)
mAP = 1.00 (except)
mAP = 0.31 (in)
mAP = 1.00 (such)
mAP = 0.37 (a)
mAP = 1.00 (monsoon)
mAP = 0.67 (as)
mAP = 0.88 (the)
mAP = 1.00 (present)
mAP = 0.79 (when)
mAP = 0.88 (the)
mAP = 1.00 (fall)
mAP = 0.62 (of)
mAP = 1.00 (rain)
mAP = 0.59 (has)
mAP = 0.86 (been)
mAP = 0.00 (so)
mAP = 1.00 (uncommonly)
mAP = 0.57 (great)
mAP = 0.70 (as)
mAP = 0.71 (to)
mAP = 1.00 (break)
mAP = 1.00 (down)
mAP = 0.90 (the)
mAP = 1.00 (enclosures)
mAP = 0.50 (and)
mAP = 1.00 (wash)
mAP = 1.00 (away)
mAP = 0.89 (the)
mAP = 1.00 (soil)
mAP = 0.30 (in)
mAP = 1.00 (many)
mAP = 1.00 (places)
mAP = 0.50 (but)
mAP = 0.78 (with)
mAP = 1.00 (respect)
mAP = 0.20 (to)
mAP = 0.61 (manure)
mAP = 0.84 (and)
mAP = 1.00 (digging)
mAP = 0.27 (i)
mAP = 0.25 (am)
mAP = 1.00 (sorry)
mAP = 0.70 (to)
mAP = 0.86 (be)
mAP = 1.00 (obliged)
mAP = 0.70 (to)
mAP = 1.00 (differ)
mAP = 0.89 (the)
mAP = 1.00 (manure)
mAP = 0.21 (in)
mAP = 0.84 (this)
mAP = 1.00 (country)
mAP = 0.48 (is)
mAP = 1.00 (chiefly)
mAP = 1.00 (wood)
mAP = 1.00 (ashes)
mAP = 0.89 (the)
mAP = 0.72 (only)
mAP = 1.00 (useful)
mAP = 0.51 (part)
mAP = 0.61 (of)
mAP = 0.69 (which)
mAP = 0.60 (is)
mAP = 0.89 (the)
mAP = 1.00 (vegetable)
mAP = 1.00 (alkali)
mAP = 0.74 (which)
mAP = 0.47 (being)
mAP = 1.00 (readily)
mAP = 1.00 (dissolved)
mAP = 0.88 (and)
mAP = 0.75 (even)
mAP = 1.00 (attracted)
mAP = 0.60 (by)
mAP = 0.17 (water)
mAP = 0.22 (is)
mAP = 1.00 (entirely)
mAP = 1.00 (washed)
mAP = 0.53 (out)
mAP = 0.64 (of)
mAP = 0.89 (the)
mAP = 0.80 (ground)
mAP = 1.00 (after)
mAP = 1.00 (684)
mAP = 0.04 (fort)
mAP = 0.00 (william)
mAP = 0.52 (30th)
mAP = 0.50 (july)
mAP = 0.50 (1790)
mAP = 1.00 (successively)
mAP = 0.66 (to)
mAP = 0.87 (the)
mAP = 1.00 (second)
mAP = 1.00 (pass)
mAP = 1.00 (called)
mAP = 1.00 (singhori)
mAP = 0.72 (the)
mAP = 1.00 (other)
mAP = 1.00 (way)
mAP = 0.40 (lay)
mAP = 0.51 (over)
mAP = 0.88 (the)
mAP = 0.03 (hills)
mAP = 0.90 (the)
mAP = 1.00 (former)
mAP = 0.35 (he)
mAP = 0.00 (recommended)
mAP = 0.80 (which)
mAP = 0.63 (of)
mAP = 1.00 (course)
mAP = 0.33 (we)
mAP = 1.00 (adopted)
mAP = 0.89 (the)
mAP = 1.00 (third)
mAP = 0.83 (days)
mAP = 0.00 (journey)
mAP = 0.50 (about)
mAP = 1.00 (8)
mAP = 0.50 (koass)
mAP = 0.24 (was)
mAP = 0.50 (over)
mAP = 0.06 (a)
mAP = 0.62 (large)
mAP = 0.00 (mountain)
mAP = 0.74 (when)
mAP = 0.49 (we)
mAP = 1.00 (descended)
mAP = 0.78 (into)
mAP = 0.84 (the)
mAP = 0.68 (only)
mAP = 1.00 (plain)
mAP = 0.15 (on)
mAP = 0.56 (our)
mAP = 1.00 (road)
mAP = 1.00 (between)
mAP = 0.89 (the)
mAP = 0.39 (first)
mAP = 1.00 (gaul)
mAP = 0.62 (and)
mAP = 1.00 (serinagur)
mAP = 0.90 (the)
mAP = 1.00 (widest)
mAP = 0.51 (part)
mAP = 0.63 (of)
mAP = 0.79 (which)
mAP = 0.12 (was)
mAP = 1.00 (near)
mAP = 0.43 (a)
mAP = 1.00 (village)
mAP = 1.00 (called)
mAP = 1.00 (biteate)
mAP = 1.00 (where)
mAP = 0.51 (it)
mAP = 0.73 (might)
mAP = 0.86 (be)
mAP = 0.51 (about)
mAP = 0.25 (a)
mAP = 1.00 (mile)
mAP = 1.00 (across)
mAP = 0.80 (the)
mAP = 1.00 (ram)
mAP = 1.00 (gonga)
mAP = 0.42 (a)
mAP = 1.00 (beautiful)
mAP = 0.83 (river)
mAP = 0.79 (that)
mAP = 1.00 (runs)
mAP = 1.00 (thro)
mAP = 0.48 (this)
mAP = 1.00 (valley)
mAP = 0.81 (our)
mAP = 1.00 (tract)
mAP = 0.84 (this)
mAP = 1.00 (day)
mAP = 0.45 (lay)
mAP = 1.00 (frequently)
mAP = 0.50 (up)
mAP = 1.00 (almost)
mAP = 1.00 (perpendicular)
mAP = 1.00 (rocks)
mAP = 0.89 (or)
mAP = 0.23 (on)
mAP = 0.89 (the)
mAP = 0.90 (the)
mAP = 1.00 (edges)
mAP = 0.62 (of)
mAP = 0.75 (very)
mAP = 1.00 (steep)
mAP = 0.00 (precipice)
mAP = 0.76 (our)
mAP = 1.00 (fourth)
mAP = 0.83 (and)
mAP = 1.00 (fifth)
mAP = 0.75 (days)
mAP = 0.70 (were)
mAP = 1.00 (spent)
mAP = 0.28 (in)
mAP = 1.00 (ascending)
mAP = 0.56 (hills)
mAP = 1.00 (above)
mAP = 0.67 (hills)
mAP = 0.50 (till)
mAP = 0.32 (we)
mAP = 0.00 (reached)
mAP = 0.42 (a)
mAP = 1.00 (mountainous)
mAP = 1.00 (ridge)
mAP = 0.63 (of)
mAP = 0.36 (great)
mAP = 1.00 (height)
mAP = 1.00 (named)
mAP = 1.00 (sallaramunda)
mAP = 0.50 (here)
mAP = 0.42 (we)
mAP = 1.00 (found)
mAP = 0.06 (a)
mAP = 1.00 (sort)
mAP = 0.62 (of)
mAP = 1.00 (stone)
mAP = 1.00 (house)
mAP = 1.00 (close)
mAP = 1.00 (under)
mAP = 0.26 (a)
mAP = 1.00 (rock)
mAP = 0.53 (built)
mAP = 0.69 (by)
mAP = 0.90 (the)
mAP = 1.00 (rajah)
mAP = 0.44 (for)
mAP = 0.00 (1022)
mAP = 0.00 (1023)
mAP = 0.00 (1050)
mAP = 0.00 (1051)
mAP = 0.50 (1052)
mAP = 0.00 (12)
mAP = 0.08 (125)
mAP = 0.00 (125127)
mAP = 0.00 (126)
mAP = 0.00 (14583)
mAP = 0.03 (150)
mAP = 0.25 (1790)
mAP = 0.02 (1791)
mAP = 0.00 (1843)
mAP = 0.00 (19th)
mAP = 0.00 (1st)
mAP = 0.03 (20)
mAP = 0.00 (20th)
mAP = 0.17 (26h)
mAP = 0.50 (27)
mAP = 0.00 (2d)
mAP = 0.11 (30th)
mAP = 0.03 (3185)
mAP = 0.00 (3186)
mAP = 0.00 (3187)
mAP = 0.02 (3189)
mAP = 0.00 (3190)
mAP = 0.08 (32)
mAP = 0.00 (3372)
mAP = 0.00 (3379)
mAP = 0.12 (3d)
mAP = 0.00 (4th)
mAP = 0.20 (531517)
mAP = 0.00 (5th)
mAP = 0.00 (684)
mAP = 0.00 (6th)
mAP = 0.01 (7th)
mAP = 0.03 (8)
mAP = 0.06 (83)
mAP = 0.27 (a)
mAP = 0.50 (ably)
mAP = 0.59 (about)
mAP = 1.00 (above)
mAP = 1.00 (absolutely)
mAP = 0.00 (accom)
mAP = 1.00 (accompanied)
mAP = 1.00 (account)
mAP = 0.48 (accounts)
mAP = 0.50 (across)
mAP = 1.00 (additional)
mAP = 1.00 (addressed)
mAP = 0.50 (adjust)
mAP = 1.00 (adopted)
mAP = 0.50 (adv)
mAP = 1.00 (advantageous)
mAP = 1.00 (after)
mAP = 0.50 (again)
mAP = 1.00 (against)
mAP = 0.03 (agree)
mAP = 0.50 (agreed)
mAP = 0.33 (alkali)
mAP = 0.89 (all)
mAP = 1.00 (allahabad)
mAP = 1.00 (allow)
mAP = 0.53 (allowance)
mAP = 1.00 (almost)
mAP = 1.00 (already)
mAP = 0.50 (also)
mAP = 0.92 (always)
mAP = 0.17 (am)
mAP = 0.69 (and)
mAP = 1.00 (andersons)
mAP = 1.00 (andrew)
mAP = 0.01 (andw)
mAP = 1.00 (antage)
mAP = 0.46 (any)
mAP = 1.00 (appearing)
mAP = 1.00 (appears)
mAP = 0.25 (applied)
mAP = 1.00 (appropriation)
mAP = 0.20 (approved)
mAP = 0.01 (april)
mAP = 0.28 (are)
mAP = 0.83 (arrangements)
mAP = 0.01 (arrival)
mAP = 0.65 (as)
mAP = 0.50 (ascending)
mAP = 1.00 (ashes)
mAP = 0.00 (assist)
mAP = 0.50 (at)
mAP = 0.50 (atkinson)
mAP = 1.00 (attention)
mAP = 0.01 (attracted)
mAP = 0.00 (augt)
mAP = 0.50 (authorized)
mAP = 0.33 (away)
mAP = 0.00 (balance)
mAP = 1.00 (bar)
mAP = 1.00 (barren)
mAP = 0.85 (be)
mAP = 1.00 (beautiful)
mAP = 0.87 (been)
mAP = 0.69 (before)
mAP = 1.00 (begun)
mAP = 0.31 (being)
mAP = 0.50 (bengal)
mAP = 0.65 (berry)
mAP = 1.00 (besides)
mAP = 1.00 (between)
mAP = 1.00 (biteate)
mAP = 0.00 (bo)
mAP = 0.58 (board)
mAP = 0.38 (boards)
mAP = 0.50 (botanical)
mAP = 1.00 (break)
mAP = 0.56 (built)
mAP = 1.00 (bursements)
mAP = 0.50 (but)
mAP = 0.57 (by)
mAP = 0.03 (c)
mAP = 0.03 (calcutta)
mAP = 1.00 (called)
mAP = 0.50 (camp)
mAP = 0.53 (can)
mAP = 0.83 (cannot)
mAP = 0.00 (care)
mAP = 0.14 (carries)
mAP = 0.33 (cases)
mAP = 0.27 (cash)
mAP = 1.00 (certainly)
mAP = 1.00 (charges)
mAP = 0.02 (charles)
mAP = 1.00 (chief)
mAP = 1.00 (chiefly)
mAP = 1.00 (circumstances)
mAP = 1.00 (civil)
mAP = 0.00 (clerk)
mAP = 1.00 (close)
mAP = 0.01 (closed)
mAP = 0.11 (com)
mAP = 1.00 (commander)
mAP = 1.00 (commencement)
mAP = 0.25 (commissioner)
mAP = 0.50 (commissioners)
mAP = 0.46 (companys)
mAP = 0.00 (comparatively)
mAP = 1.00 (complaining)
mAP = 0.33 (concerned)
mAP = 1.00 (confine)
mAP = 0.04 (cons)
mAP = 1.00 (consider)
mAP = 1.00 (considerable)
mAP = 0.14 (considerably)
mAP = 1.00 (considered)
mAP = 1.00 (contingencies)
mAP = 1.00 (cooley)
mAP = 1.00 (copy)
mAP = 0.14 (correspond)
mAP = 0.35 (council)
mAP = 1.00 (country)
mAP = 0.00 (courage)
mAP = 1.00 (course)
mAP = 0.61 (court)
mAP = 0.01 (cul)
mAP = 1.00 (cultivated)
mAP = 0.67 (cultivation)
mAP = 1.00 (current)
mAP = 0.00 (dated)
mAP = 1.00 (dates)
mAP = 1.00 (day)
mAP = 1.00 (days)
mAP = 0.10 (december)
mAP = 1.00 (deficiences)
mAP = 1.00 (demanded)
mAP = 0.00 (department)
mAP = 1.00 (descended)
mAP = 1.00 (descrip)
mAP = 1.00 (design)
mAP = 0.83 (desire)
mAP = 0.87 (desired)
mAP = 1.00 (despatches)
mAP = 0.04 (deviation)
mAP = 1.00 (diameter)
mAP = 1.00 (diately)
mAP = 1.00 (differ)
mAP = 1.00 (different)
mAP = 0.83 (digging)
mAP = 1.00 (direct)
mAP = 1.00 (directed)
mAP = 1.00 (directions)
mAP = 0.50 (directors)
mAP = 0.50 (dis)
mAP = 0.00 (disburse)
